method,alerting_fraction,threshold,events_detected,false_alarms_per_day,p_value,mean_lead_hours
swakde,0.2,1.0893730363157947,4,1.2908566183379104,0.5665,16.793125
swakde,0.1,1.9116466138847483,4,0.7842562851034097,0.2905,13.70236111111111
swakde,0.05,2.811915162465071,4,0.34585215057355334,0.0495,10.06048611111111
swakde,0.02,4.419838662786677,2,0.11203661215762996,0.1935,10.724027777777778
swakde,0.01,6.93068688472064,2,0.01948462820132695,0.0175,-1.05625
exact,0.2,1.0880122712560734,4,1.3152124035895691,0.585,16.78625
exact,0.1,1.899724033588073,4,0.7988697562544049,0.2965,13.70923611111111
exact,0.05,2.802873879016097,4,0.34098099352322164,0.049,10.067361111111111
exact,0.02,4.451416267552447,2,0.10229429805696649,0.177,11.665416666666667
exact,0.01,6.936944612066676,2,0.01948462820132695,0.0175,-0.9047222222222222
race,0.2,0.8971781097567464,4,1.130108435676963,0.4955,17.876458333333332
race,0.1,3.0343116232649576,4,0.6088946312914671,0.1715,9.709722222222222
race,0.05,6.469632639216426,3,0.3653367787748803,0.2845,-1.3818518518518517
race,0.02,11.29817174796677,2,0.16074818266094734,0.3145,-0.12000000000000001
race,0.01,17.139161128695722,2,0.09255198395630301,0.151,-0.32666666666666666
